IATA	Timezone	Airport Name	City
YTL	America/Winnipeg	Big Trout Lake Airport	Big Trout Lake
YTM	America/Toronto	La Macaza / Mont-Tremblant International Inc Airport	Riviere Rouge
YTP	America/Vancouver	Tofino Harbour Seaplane Base	Tofino Harbour
YTQ	America/Toronto	Tasiujaq Airport	Tasiujaq
YTR	America/Toronto	CFB Trenton	Trenton
YTS	America/Toronto	Timmins/Victor M. Power	Timmins
YTT	America/Regina	Tisdale Airport	Tisdale
YTU	America/Vancouver	Tasu Water Aerodrome	Tasu
YTX	America/Vancouver	Telegraph Creek Airport	Telegraph Creek
YTY	Asia/Shanghai	Yangzhou Taizhou Airport	
YTZ	America/Toronto	Billy Bishop Toronto City Centre Airport	Toronto
YUA	Asia/Shanghai	Yuanmou Air Base	Yuanmou
YUB	America/Yellowknife	Tuktoyaktuk Airport	Tuktoyaktuk
YUD	America/Toronto	Umiujaq Airport	Umiujaq
YUE	Australia/Darwin	Yuendumu Airport	
YUL	America/Toronto	Montreal / Pierre Elliott Trudeau International Airport	Montreal
YUM	America/Phoenix	Yuma MCAS/Yuma International Airport	Yuma
YUS	Asia/Urumqi	Yushu Batang Airport	Yushu
YUT	America/Rankin_Inlet	Naujaat Airport	Repulse Bay
YUX	America/Iqaluit	Hall Beach Airport	Hall Beach
YUY	America/Toronto	Rouyn Noranda Airport	Rouyn-Noranda
YVA	Indian/Comoro	Iconi Airport	Moroni
YVB	America/Toronto	Bonaventure Airport	Bonaventure
YVC	America/Regina	La Ronge Airport	La Ronge
YVD	Pacific/Port_Moresby	Yeva Airport	Yeva
YVE	America/Vancouver	Vernon Airport	Vernon
YVG	America/Edmonton	Vermilion Airport	Vermilion
YVM	America/Pangnirtung	Qikiqtarjuaq Airport	Qikiqtarjuaq
YVO	America/Toronto	Val-d'Or Airport	Val-d'Or
YVP	America/Toronto	Kuujjuaq Airport	Kuujjuaq
YVQ	America/Yellowknife	Norman Wells Airport	Norman Wells
YVR	America/Vancouver	Vancouver International Airport	Vancouver
YVT	America/Regina	Buffalo Narrows Airport	Buffalo Narrows
YVV	America/Toronto	Wiarton Airport	Wiarton
YVZ	America/Winnipeg	Deer Lake Airport	Deer Lake
YWA	America/Toronto	Petawawa Airport	Petawawa
YWB	America/Toronto	Kangiqsujuaq (Wakeham Bay) Airport	Kangiqsujuaq
YWG	America/Winnipeg	Winnipeg / James Armstrong Richardson International Airport	Winnipeg
YWH	America/Vancouver	Victoria Harbour Seaplane Base	Victoria
YWJ	America/Yellowknife	Deline Airport	Deline
YWK	America/Goose_Bay	Wabush Airport	Wabush
YWL	America/Vancouver	Williams Lake Airport	Williams Lake
YWM	America/St_Johns	Williams Harbour Airport	Williams Harbour
YWP	America/Toronto	Webequie Airport	Webequie
YWQ	America/Toronto	Chute-Des-Passes/Lac Margane Seaplane Base	Chutes-des-Passes
