IATA	Timezone	Airport Name	City
DRJ	America/Paramaribo	Drietabbetje Airport	Drietabbetje
DRK	America/Costa_Rica	Drake Bay Airport	Puntarenas
DRN	Australia/Brisbane	Dirranbandi Airport	
DRO	America/Denver	Durango La Plata County Airport	Durango
DRR	Australia/Brisbane	Durrie Airport	
DRS	Europe/Berlin	Dresden Airport	Dresden
DRT	America/Chicago	Del Rio International Airport	Del Rio
DRU	America/Denver	Drummond Airport	Drummond
DRV	Indian/Maldives	Dharavandhoo Airport	Baa Atoll
DRW	Australia/Darwin	Darwin International Airport	Darwin
DRY	Australia/Perth	Drysdale River Airport	
DSA	Europe/London	Robin Hood Doncaster Sheffield Airport	Doncaster
DSC	Africa/Douala	Dschang Airport	Dschang
DSD	America/Guadeloupe	La Desirade Airport	Grande Anse
DSE	Africa/Addis_Ababa	Combolcha Airport	Dessie
DSG	Asia/Manila	Dilasag Airport	Dilasag
DSI	America/Chicago	Destin Executive Airport	Destin
DSK	Asia/Karachi	Dera Ismael Khan Airport	Dera Ismael Khan
DSM	America/Chicago	Des Moines International Airport	Des Moines
DSN	Asia/Shanghai	Ordos Ejin Horo Airport	Ordos
DSO	Asia/Pyongyang	Sondok Airport	Sondong-ni
DSS	Africa/Dakar	Blaise Diagne International Airport	Dakar
DSV	America/New_York	Dansville Municipal Airport	Dansville
DSX	Asia/Taipei	Dongsha Island Airport	Pratas Island
DTA	America/Denver	Delta Municipal Airport	Delta
DTB	Asia/Jakarta	Silangit Airport	Siborong-Borong
DTD	Asia/Makassar	Datadawai Airport	Datadawai-Borneo Island
DTE	Asia/Manila	Daet Airport	Daet
DTH	America/Los_Angeles	Furnace Creek Airport	Death Valley National Park
DTI	America/Sao_Paulo	Diamantina Airport	Diamantina
DTL	America/Chicago	Detroit Lakes Airport - Wething Field	Detroit Lakes
DTM	Europe/Berlin	Dortmund Airport	Dortmund
DTN	America/Chicago	Shreveport Downtown Airport	Shreveport
DTR	America/Los_Angeles	Decatur Shores Airport	Decatur
DTU	Asia/Shanghai	Wudalianchi Dedu Airport	Wudalianchi
DTW	America/Detroit	Detroit Metropolitan Wayne County Airport	Detroit
DUA	America/Chicago	Eaker Field	Durant
DUB	Europe/Dublin	Dublin Airport	Dublin
DUC	America/Chicago	Halliburton Field	Duncan
DUD	Pacific/Auckland	Dunedin Airport	Dunedin
DUE	Africa/Luanda	Dundo Airport	Chitato
DUF	America/New_York	Pine Island Airport	Corolla
DUG	America/Phoenix	Bisbee Douglas International Airport	Douglas Bisbee
DUJ	America/New_York	DuBois Regional Airport	Dubois
DUK	Africa/Johannesburg	Mubatuba Airport	Mubatuba
DUM	Asia/Jakarta	Pinang Kampai Airport	Dumai-Sumatra Island
DUQ	America/Vancouver	Duncan Airport	Duncan
DUR	Africa/Johannesburg	King Shaka International Airport	Durban
DUS	Europe/Berlin	Dusseldorf Airport	Dusseldorf
DUT	America/Anchorage	Unalaska Airport	Unalaska
DVD	Indian/Antananarivo	Andavadoaka Airport	Andavadoaka
DVK	America/Yellowknife	Diavik Airport	Diavik
DVL	America/Chicago	Devils Lake Regional Airport	Devils Lake
DVN	America/Chicago	Davenport Municipal Airport	Davenport
DVO	Asia/Manila	Francisco Bangoy International Airport	Davao City
DVP	Australia/Brisbane	Davenport Downs Airport	
DVR	Australia/Darwin	Daly River Airport	
DVT	America/Phoenix	Phoenix Deer Valley Airport	Phoenix
DWA	Africa/Blantyre	Dwangwa Airport	Dwangwa
DWB	Indian/Antananarivo	Soalala Airport	Soalala
DWC	Asia/Dubai	Al Maktoum International Airport	Jebel Ali
DWD	Asia/Riyadh	King Salman Abdulaziz Airport	Dawadmi
DWH	America/Chicago	David Wayne Hooks Memorial Airport	Houston
DWO	Asia/Colombo	Diyawanna Oya Seaplane Base	Kotte
DWR	Asia/Kabul	Dywer Airbase	Camp Dwyer
DXB	Asia/Dubai	Dubai International Airport	Dubai
DXD	Australia/Brisbane	Dixie Airport	New Dixie
DXE	America/Chicago	Bruce Campbell Field	Madison
DXR	America/New_York	Danbury Municipal Airport	Danbury
DYA	Australia/Brisbane	Dysart Airport	
DYG	Asia/Shanghai	Dayong Airport	Dayong
DYL	America/New_York	Doylestown Airport	Doylestown
DYM	Australia/Brisbane	Diamantina Lakes Airport	Diamantina Lakes
DYR	Asia/Anadyr	Ugolny Airport	Anadyr
DYS	America/Chicago	Dyess Air Force Base	Abilene
DYU	Asia/Dushanbe	Dushanbe Airport	Dushanbe
DYW	Australia/Darwin	Daly Waters Airport	Daly Waters
DZA	Indian/Mayotte	Dzaoudzi Pamandzi International Airport	Dzaoudzi
DZI	America/Bogota	Codazzi Airport	Hacienda Borrero
DZN	Asia/Almaty	Zhezkazgan Airport	Zhezkazgan
DZO	America/Montevideo	Santa Bernardina International Airport	Durazno
DZU	Asia/Shanghai	Dazu Air Base	Dazu
EAA	America/Anchorage	Eagle Airport	Eagle
EAB	Asia/Aden	Abbse Airport	Abbse
EAE	Pacific/Efate	Siwo Airport	Emae Island
EAL	Pacific/Kwajalein	Elenak Airport	Mejato Island
EAM	Asia/Riyadh	Nejran Airport	
EAN	America/Denver	Phifer Airfield	Wheatland
EAR	America/Chicago	Kearney Regional Airport	Kearney
EAS	Europe/Madrid	San Sebastian Airport	Hondarribia
EAT	America/Los_Angeles	Pangborn Memorial Airport	Wenatchee
EAU	America/Chicago	Chippewa Valley Regional Airport	Eau Claire
EBA	Europe/Rome	Marina Di Campo Airport	Marina  Di Campo
EBB	Africa/Kampala	Entebbe International Airport	Kampala
EBD	Africa/Khartoum	El Obeid Airport	Al-Ubayyid
EBG	America/Bogota	El Bagre Airport	El Bagre
EBH	Africa/Algiers	El Bayadh Airport	El Bayadh
EBJ	Europe/Copenhagen	Esbjerg Airport	Esbjerg
EBL	Asia/Baghdad	Erbil International Airport	Arbil
EBM	Africa/Tunis	El Borma Airport	El Borma
EBN	Pacific/Kwajalein	Ebadon Airport	Ebadon Island
EBO	Pacific/Majuro	Ebon Airport	Ebon Atoll
EBS	America/Chicago	Webster City Municipal Airport	Webster City
EBU	Europe/Paris	Saint-Etienne-Boutheon Airport	Saint-Etienne/Boutheon
EBW	Africa/Douala	Ebolowa Airport	Ebolowa
ECA	America/Detroit	Iosco County Airport	East Tawas
ECG	America/New_York	Elizabeth City Regional Airport & Coast Guard Air Station	Elizabeth City
ECH	Australia/Melbourne	Echuca Airport	
ECI	America/Managua	Costa Esmeralda Airport	Tola
ECN	Asia/Nicosia	Ercan International Airport	Nicosia
ECO	America/Bogota	El Encanto Airport	El Encanto
ECP	America/Chicago	Northwest Florida Beaches International Airport	Panama City Beach
ECR	America/Bogota	El Charco Airport	El Charco
ECS	America/Denver	Mondell Field	Newcastle
EDA	America/Sitka	Edna Bay Seaplane Base	Edna Bay
EDB	Africa/Khartoum	El Debba Airport	El Debba
EDD	Australia/Darwin	Erldunda Airport	
EDE	America/New_York	Northeastern Regional Airport	Edenton
EDF	America/Anchorage	Elmendorf Air Force Base	Anchorage
EDI	Europe/London	Edinburgh Airport	Edinburgh
EDK	America/Chicago	Captain Jack Thomas El Dorado Airport	El Dorado
EDL	Africa/Nairobi	Eldoret International Airport	Eldoret
EDM	Europe/Paris	La Roche-sur-Yon Airport	La Roche-sur-Yon/Les Ajoncs
EDN	Asia/Vladivostok	Yedinka Airport	Yedinka
EDO	Europe/Istanbul	Balikesir Korfez Airport	Edremit
EDQ	America/Tegucigalpa	Erandique Airport	Erandique
EDR	Australia/Brisbane	Pormpuraaw Airport	Pormpuraaw
EDW	America/Los_Angeles	Edwards Air Force Base	Edwards
EED	America/Los_Angeles	Needles Airport	Needles
EEK	America/Nome	Eek Airport	Eek
EEN	America/New_York	Dillant Hopkins Airport	Keene
EFD	America/Chicago	Ellington Airport	Houston
EFG	Pacific/Port_Moresby	Efogi Airport	Efogi
EFK	America/New_York	Northeast Kingdom International Airport	Newport
EFL	Europe/Athens	Kefallinia Airport	Kefallinia Island
EFW	America/Chicago	Jefferson Municipal Airport	Jefferson
EGA	Pacific/Port_Moresby	Engati Airstrip	Engati
EGC	Europe/Paris	Bergerac-Roumaniere Airport	Bergerac/Roumaniere
EGE	America/Denver	Eagle County Regional Airport	Eagle
EGI	America/Chicago	Duke Field	Crestview
EGL	Africa/Addis_Ababa	Negele Airport	Negele Borana
EGM	Pacific/Guadalcanal	Sege Airport	Sege
EGN	Africa/Khartoum	Geneina Airport	Geneina
EGO	Europe/Moscow	Belgorod International Airport	Belgorod
EGP	America/Chicago	Maverick County Memorial International Airport	Eagle Pass
EGS	Atlantic/Reykjavik	Egilsstadir Airport	Egilsstadir
EGV	America/Chicago	Eagle River Union Airport	Eagle River
EGX	America/Anchorage	Egegik Airport	Egegik
EHL	America/Argentina/Salta	El Bolson Airport	El Bolson
EHM	America/Nome	Cape Newenham LRRS Airport	Cape Newenham
EIB	Europe/Berlin	Eisenach-Kindel Airport	Eisenach
EIE	Asia/Krasnoyarsk	Yeniseysk Airport	Yeniseysk
EIH	Australia/Brisbane	Einasleigh Airport	Einasleigh
EIK	Europe/Moscow	Yeysk Airport	Yeysk
EIL	America/Anchorage	Eielson Air Force Base	Fairbanks
EIN	Europe/Amsterdam	Eindhoven Airport	Eindhoven
EIS	America/Tortola	Terrance B. Lettsome International Airport	Road Town
EIY	Asia/Jerusalem	Ein Yahav Airfield	Sapir
EJA	America/Bogota	Yariguies Airport	Barrancabermeja
EJH	Asia/Riyadh	Al Wajh Domestic Airport	Al Wajh
EJN	Asia/Shanghai	Ejin Banner-Taolai Airport	Ejin Banner
EJT	Pacific/Majuro	Enejit Airport	Enejit Island
EKA	America/Los_Angeles	Murray Field	Eureka
EKB	Asia/Almaty	Ekibastuz Airport	Ekibastuz
EKD	Australia/Darwin	Elkedra Airport	
EKI	America/Indiana/Indianapolis	Elkhart Municipal Airport	Elkhart
EKN	America/New_York	Elkins-Randolph Co-Jennings Randolph Field	Elkins
EKO	America/Los_Angeles	Elko Regional Airport	Elko
EKS	Asia/Sakhalin	Shakhtyorsk Airport	Shakhtersk
EKT	Europe/Stockholm	Eskilstuna Airport	Eskilstuna
EKX	America/New_York	Addington Field	Elizabethtown
ELA	America/Chicago	Eagle Lake Airport	Eagle Lake
ELB	America/Bogota	Las Flores Airport	El Banco
ELC	Australia/Darwin	Elcho Island Airport	Elcho Island
ELD	America/Chicago	South Arkansas Regional At Goodwin Field	El Dorado
ELE	America/Panama	EL Real Airport	El Real de Santa Maria
ELF	Africa/Khartoum	El Fasher Airport	El Fasher
ELG	Africa/Algiers	El Golea Airport	
ELH	America/Nassau	North Eleuthera Airport	North Eleuthera
ELI	America/Nome	Elim Airport	Elim
ELJ	America/Bogota	El Recreo Airport	Ruperto Polania
ELK	America/Chicago	Elk City Regional Business Airport	Elk City
ELL	Africa/Johannesburg	Ellisras Matimba Airport	Ellisras
ELM	America/New_York	Elmira Corning Regional Airport	Elmira/Corning
ELN	America/Los_Angeles	Bowers Field	Ellensburg
ELO	America/Argentina/Cordoba	El Dorado Airport	El Dorado
ELP	America/Denver	El Paso International Airport	El Paso
ELQ	Asia/Riyadh	Gassim Airport	
ELR	Asia/Jayapura	Elelim Airport	Elelim-Papua Island
ELS	Africa/Johannesburg	Ben Schoeman Airport	East London
ELT	Africa/Cairo	El Tor Airport	
ELU	Africa/Algiers	Guemar Airport	Guemar
ELV	America/Juneau	Elfin Cove Seaplane Base	Elfin Cove
ELW	America/Anchorage	Ellamar Seaplane Base	Ellamar
ELX	America/Caracas	Isla de Tigre  Heliport	Isla de Tigre
ELY	America/Los_Angeles	Ely Airport Yelland Field	Ely
EMA	Europe/London	East Midlands Airport	Nottingham
EMD	Australia/Brisbane	Emerald Airport	Emerald
EME	Europe/Berlin	Emden Airport	Emden
EMG	Africa/Johannesburg	Empangeni Airport	Empangeni
EMI	Pacific/Port_Moresby	Emirau Airport	Emirau Island
EMK	America/Nome	Emmonak Airport	Emmonak
EML	Europe/Zurich	Emmen Air Base	
EMM	America/Denver	Kemmerer Municipal Airport	Kemmerer
EMN	Africa/Nouakchott	Nema Airport	Nema
EMO	Pacific/Port_Moresby	Emo River Airstrip	Emo Mission
EMP	America/Chicago	Emporia Municipal Airport	Emporia
EMS	Pacific/Port_Moresby	Embessa Airport	Embessa
EMT	America/Los_Angeles	San Gabriel Valley Airport	El Monte
EMX	America/Argentina/Catamarca	El Maiten Airport	El Maiten
EMY	Africa/Cairo	El Minya Airport	Minya
ENA	America/Anchorage	Kenai Municipal Airport	Kenai
ENB	Australia/Perth	Eneabba Airport	Eneabba
ENC	Europe/Paris	Nancy-Essey Airport	Nancy/Essey
END	America/Chicago	Vance Air Force Base	Enid
ENE	Asia/Makassar	Ende (H Hasan Aroeboesman) Airport	Ende-Flores Island
ENF	Europe/Helsinki	Enontekio Airport	Enontekio
ENH	Asia/Shanghai	Enshi Airport	Enshi
ENI	Asia/Manila	El Nido Airport	El Nido
ENJ	America/Guatemala	El Naranjo Airport	El Naranjo
ENK	Europe/London	St Angelo Airport	Enniskillen
ENL	America/Chicago	Centralia Municipal Airport	Centralia
ENN	America/Anchorage	Nenana Municipal Airport	Nenana
ENO	America/Asuncion	Encarnacion Airport	Encarnacion
ENS	Europe/Amsterdam	Twente Airport	Enschede
ENT	Pacific/Kwajalein	Eniwetok Airport	Eniwetok Atoll
ENU	Africa/Lagos	Akanu Ibiam International Airport	Enegu
ENV	America/Denver	Wendover Airport	Wendover
ENW	America/Chicago	Kenosha Regional Airport	Kenosha
ENY	Asia/Shanghai	Yan'an Ershilipu Airport	Yan'an
EOH	America/Bogota	Enrique Olaya Herrera Airport	Medellin
EOI	Europe/London	Eday Airport	Eday
EOK	America/Chicago	Keokuk Municipal Airport	Keokuk
EOR	America/Caracas	El Dorado Airport	Bolivar
EOZ	America/Caracas	Elorza Airport	
EPA	America/Argentina/Buenos_Aires	El Palomar Airport	El Palomar
EPG	America/Chicago	Browns Airport	Weeping Water
EPH	America/Los_Angeles	Ephrata Municipal Airport	Ephrata
EPL	Europe/Paris	Epinal-Mirecourt Airport	Epinal/Mirecourt
EPR	Australia/Perth	Esperance Airport	Esperance
EPS	America/Santo_Domingo	Samana El Portillo Airport	Samana
EPT	Pacific/Port_Moresby	Eliptamin Airport	Eliptamin
EPU	Europe/Tallinn	Parnu Airport	Parnu
EQS	America/Argentina/Catamarca	Brigadier Antonio Parodi Airport	Esquel
ERA	Africa/Mogadishu	Erigavo Airport	Erigavo
ERB	Australia/Adelaide	Ernabella Airport	
ERC	Europe/Istanbul	Erzincan Airport	Erzincan
ERD	Europe/Zaporozhye	Berdyansk Airport	Berdyansk
ERE	Pacific/Port_Moresby	Erave Airport	Erave
ERF	Europe/Berlin	Erfurt Airport	Erfurt
ERG	Asia/Irkutsk	Yerbogachen Airport	Erbogachen
ERH	Africa/Casablanca	Moulay Ali Cherif Airport	Errachidia
ERI	America/New_York	Erie International Tom Ridge Field	Erie
ERL	Asia/Shanghai	Erenhot Saiwusu International Airport	Erenhot
ERM	America/Sao_Paulo	Erechim Airport	Erechim
ERN	America/Manaus	Eirunepe Airport	Eirunepe
ERQ	Australia/Brisbane	Elrose Airport	Elrose Mine
ERR	America/New_York	Errol Airport	Errol
ERS	Africa/Windhoek	Eros Airport	Windhoek
ERT	Asia/Ulaanbaatar	Erdenet Airport	Erdenet
ERU	Pacific/Port_Moresby	Erume Airport	Erume
ERV	America/Chicago	Kerrville Municipal Louis Schreiner Field	Kerrville
ERZ	Europe/Istanbul	Erzurum International Airport	Erzurum
ESA	Pacific/Port_Moresby	Esa'ala Airport	Esa'ala
ESB	Europe/Istanbul	Esenboga International Airport	Ankara
ESC	America/Detroit	Delta County Airport	Escanaba
ESD	America/Los_Angeles	Orcas Island Airport	Eastsound
ESE	America/Tijuana	Ensenada International Airport	Ensenada
ESF	America/Chicago	Esler Regional Airport	Alexandria
ESG	America/Asuncion	Dr. Luis Maria Argana International Airport	Mariscal Estigarribia
ESH	Europe/London	Shoreham Airport	Brighton
ESI	America/Sao_Paulo	Espinosa Airport	Espinosa
ESK	Europe/Istanbul	Eskisehir Air Base	
ESL	Europe/Moscow	Elista Airport	Elista
ESM	America/Guayaquil	General Rivadeneira Airport	Tachina
ESN	America/New_York	Easton Newnam Field	Easton
ESO	America/Denver	Ohkay Owingeh Airport	Espanola
ESP	America/New_York	Birchwood-Pocono Airport	East Stroudsburg
ESR	America/Santiago	Ricardo Garcia Posada Airport	El Salvador
ESS	Europe/Berlin	Essen Mulheim Airport	
EST	America/Chicago	Estherville Municipal Airport	Estherville
ESU	Africa/Casablanca	Mogador Airport	Essaouira
ESW	America/Los_Angeles	Easton State Airport	Easton
ETB	America/Chicago	West Bend Municipal Airport	West Bend
ETD	Australia/Adelaide	Etadunna Airport	Etadunna
ETE	Africa/Addis_Ababa	Metema Airport	Metema
ETH	Asia/Jerusalem	Eilat Airport	Eilat
ETL	Asia/Vladivostok	Svetlaya Airport	Svetlaya
ETM	Asia/Jerusalem	Ramon Airport	Eilat
ETN	America/Chicago	Eastland Municipal Airport	Eastland
ETR	America/Guayaquil	Santa Rosa International Airport	Santa Rosa
ETS	America/Chicago	Enterprise Municipal Airport	Enterprise
ETZ	Europe/Paris	Metz-Nancy-Lorraine Airport	Metz / Nancy
EUA	Pacific/Tongatapu	Kaufana Airport	Eua Island
EUC	Australia/Eucla	Eucla Airport	
EUE	America/Los_Angeles	Eureka Airport	Eureka
EUF	America/Chicago	Weedon Field	Eufaula
EUG	America/Los_Angeles	Mahlon Sweet Field	Eugene
EUM	Europe/Berlin	Neumunster Airport	Neumunster
EUN	Africa/Casablanca	Hassan I Airport	El Aaiun
EUO	America/Bogota	Paratebueno Airport	Paratebueno
EUQ	Asia/Manila	Evelio Javier Airport	San Jose
EUX	America/Kralendijk	F. D. Roosevelt Airport	Sint Eustatius
EVA	America/Chicago	Ben Bruce Memorial Airpark	Evadale
EVD	Australia/Darwin	Eva Downs Airport	Eva Downs
EVG	Europe/Stockholm	Sveg Airport	
EVH	Australia/Sydney	Evans Head Aerodrome	
EVM	America/Chicago	Eveleth Virginia Municipal Airport	Eveleth
EVN	Asia/Yerevan	Zvartnots International Airport	Yerevan
EVV	America/Chicago	Evansville Regional Airport	Evansville
EVW	America/Denver	Evanston-Uinta County Airport-Burns Field	Evanston
EVX	Europe/Paris	Evreux-Fauville (BA 105) Air Base	Evreux/Fauville
EWB	America/New_York	New Bedford Regional Airport	New Bedford
EWE	Asia/Jayapura	Ewer Airport	Asmat
EWI	Asia/Jayapura	Enarotali Airport	Enarotali-Papua Island
EWK	America/Chicago	Newton City-County Airport	Newton
EWN	America/New_York	Coastal Carolina Regional Airport	New Bern
EWO	Africa/Brazzaville	Ewo Airport	Ewo
EWR	America/New_York	Newark Liberty International Airport	Newark
EXI	America/Juneau	Excursion Inlet Seaplane Base	Excursion Inlet
EXM	Australia/Perth	Exmouth Airport	
EXT	Europe/London	Exeter International Airport	Exeter
EYK	Asia/Yekaterinburg	Beloyarskiy Airport	
EYL	Africa/Bamako	Yelimane Airport	Yelimane
EYP	America/Bogota	El Yopal Airport	El Yopal
EYR	America/Los_Angeles	Yerington Municipal Airport	Yerington
EYS	Africa/Nairobi	Eliye Springs Airport	Eliye Springs
EYW	America/New_York	Key West International Airport	Key West
EZE	America/Argentina/Buenos_Aires	Ministro Pistarini International Airport	Buenos Aires
EZS	Europe/Istanbul	Elazig Airport	Elazig
EZV	Asia/Yekaterinburg	Berezovo Airport	
FAA	Africa/Conakry	Faranah Airport	Faranah
FAB	Europe/London	Farnborough Airport	Farnborough
FAC	Pacific/Tahiti	Faaite Airport	
FAE	Atlantic/Faroe	Vagar Airport	Vagar
FAF	America/New_York	Felker Army Air Field	Fort Eustis
FAG	Atlantic/Reykjavik	Fagurholsmyri Airport	Fagurholsmyri
FAH	Asia/Kabul	Farah Airport	Farah
FAI	America/Anchorage	Fairbanks International Airport	Fairbanks
FAJ	America/Puerto_Rico	Diego Jimenez Torres Airport	Fajardo
FAK	America/Sitka	False Island Seaplane Base	False Island
FAM	America/Chicago	Farmington Regional Airport	Farmington
FAO	Europe/Lisbon	Faro Airport	Faro
FAQ	Pacific/Port_Moresby	Frieda River Airport	Frieda River
FAR	America/Chicago	Hector International Airport	Fargo
FAS	Atlantic/Reykjavik	Faskrudsfjordur Airport	Faskrudsfjordur
FAT	America/Los_Angeles	Fresno Yosemite International Airport	Fresno
FAU	Asia/Muscat	Fahud Airport	Fahud
FAV	Pacific/Tahiti	Fakarava Airport	
FAY	America/New_York	Fayetteville Regional Grannis Field	Fayetteville
FAZ	Asia/Tehran	Fasa Airport	Fasa
FBA	America/Manaus	Fonte Boa Airport	Fonte Boa
FBD	Asia/Kabul	Fayzabad Airport	Fayzabad
FBE	America/Sao_Paulo	Francisco Beltrao Airport	Francisco Beltrao
FBG	America/New_York	Simmons Army Air Field	Fort Bragg
FBK	America/Anchorage	Ladd AAF Airfield	Fairbanks/Ft Wainwright
FBL	America/Chicago	Faribault Municipal Airport-Liz Wall Strohfus Field	Faribault
FBM	Africa/Lubumbashi	Lubumbashi International Airport	Lubumbashi
FBR	America/Denver	Fort Bridger Airport	Fort Bridger
FBS	America/Los_Angeles	Friday Harbor Seaplane Base	Friday Harbor
FBY	America/Chicago	Fairbury Municipal Airport	Fairbury
FCA	America/Denver	Glacier Park International Airport	Kalispell
FCB	Africa/Johannesburg	Ficksburg Sentraoes Airport	Ficksburg
FCH	America/Los_Angeles	Fresno Chandler Executive Airport	Fresno
FCM	America/Chicago	Flying Cloud Airport	Minneapolis
FCN	Europe/Berlin	Nordholz Naval Airbase	Cuxhaven
FCO	Europe/Rome	Leonardo da Vinci-Fiumicino Airport	Rome
FCS	America/Denver	Butts AAF (Fort Carson) Air Field	Fort Carson
FCY	America/Chicago	Forrest City Municipal Airport	Forrest City
FDE	Europe/Oslo	Forde Airport	Forde
FDF	America/Martinique	Martinique Aime Cesaire International Airport	Fort-de-France
FDH	Europe/Berlin	Friedrichshafen Airport	Friedrichshafen
FDK	America/New_York	Frederick Municipal Airport	Frederick
FDR	America/Chicago	Frederick Regional Airport	Frederick
FDU	Africa/Kinshasa	Bandundu Airport	
FDY	America/New_York	Findlay Airport	Findlay
FEA	Europe/London	Fetlar Airport	Fetlar Island
FEB	Asia/Kathmandu	Sanfebagar Airport	Sanfebagar
FEC	America/Bahia	Joao Durval Carneiro Airport	Feira De Santana
FEG	Asia/Tashkent	Fergana International Airport	Fergana
FEJ	America/Rio_Branco	Feijo Airport	Feijo
FEK	Africa/Abidjan	Ferkessedougou Airport	Ferkessedougou
FEL	Europe/Berlin	Furstenfeldbruck Air Base	Furstenfeldbruck
FEN	America/Noronha	Fernando de Noronha Airport	Fernando De Noronha
FEP	America/Chicago	Albertus Airport	Freeport
FET	America/Chicago	Fremont Municipal Airport	Fremont
FEZ	Africa/Casablanca	Saiss Airport	Fes
FFA	America/New_York	First Flight Airport	Kill Devil Hills
FFD	Europe/London	RAF Fairford	Fairford
FFL	America/Chicago	Fairfield Municipal Airport	Fairfield
FFM	America/Chicago	Fergus Falls Municipal Airport - Einar Mickelson Field	Fergus Falls
FFO	America/New_York	Wright-Patterson Air Force Base	Dayton
FFT	America/New_York	Capital City Airport	Frankfort
FFU	America/Santiago	Futaleufu Airport	Futaleufu
FGD	Africa/Nouakchott	Fderik Airport	Fderik
FGI	Pacific/Apia	Fagali'i Airport	Apia
FGU	Pacific/Tahiti	Fangatau Airport	
FHU	America/Phoenix	Sierra Vista Municipal Libby Army Air Field	Fort Huachuca Sierra Vista
FHZ	Pacific/Tahiti	Fakahina Airport	Fakahina
FID	America/New_York	Elizabeth Field	Fishers Island
FIE	Europe/London	Fair Isle Airport	Fair Isle
FIG	Africa/Conakry	Fria Airport	Fria
FIH	Africa/Kinshasa	Ndjili International Airport	Kinshasa
FIK	Australia/Darwin	Finke Airport	Finke
FIL	America/Denver	Fillmore Municipal Airport	Fillmore
FIN	Pacific/Port_Moresby	Finschhafen Airport	Buki
FIZ	Australia/Perth	Fitzroy Crossing Airport	
FJR	Asia/Dubai	Fujairah International Airport	
FKB	Europe/Berlin	Karlsruhe Baden-Baden Airport	Baden-Baden
FKI	Africa/Lubumbashi	Bangoka International Airport	Kisangani
FKJ	Asia/Tokyo	Fukui Airport	
FKL	America/New_York	Venango Regional Airport	Franklin
FKN	America/New_York	Franklin Regional Airport	Franklin
FKQ	Asia/Jayapura	Fakfak Airport	Fakfak-Papua Island
FKS	Asia/Tokyo	Fukushima Airport	Sukagawa
FLA	America/Bogota	Gustavo Artunduaga Paredes Airport	Florencia
FLB	America/Fortaleza	Cangapara Airport	Floriano
FLD	America/Chicago	Fond du Lac County Airport	Fond du Lac
FLF	Europe/Berlin	Flensburg-Schaferhaus Airport	Flensburg
FLG	America/Phoenix	Flagstaff Pulliam Airport	Flagstaff
FLH	Europe/London	Flotta Isle Airport	Flotta Isle
FLI	Atlantic/Reykjavik	Holt Airport	Flateyri
FLL	America/New_York	Fort Lauderdale Hollywood International Airport	Fort Lauderdale
FLM	America/Asuncion	Filadelfia Airport	Filadelfia
FLN	America/Sao_Paulo	Hercilio Luz International Airport	Florianopolis
FLO	America/New_York	Florence Regional Airport	Florence
FLP	America/Chicago	Marion County Regional Airport	Flippin
FLR	Europe/Rome	Peretola Airport	Firenze
FLS	Australia/Hobart	Flinders Island Airport	Flinders Island
FLT	America/Anchorage	Flat Airport	Flat
FLV	America/Chicago	Sherman Army Air Field	Fort Leavenworth
FLW	Atlantic/Azores	Flores Airport	Santa Cruz das Flores
FLX	America/Los_Angeles	Fallon Municipal Airport	Fallon
FLY	Australia/Sydney	Finley Airport	
FLZ	Asia/Jakarta	Dr Ferdinand Lumban Tobing Airport	Sibolga-Sumatra Island
FMA	America/Argentina/Cordoba	Formosa Airport	Formosa
FME	America/New_York	Tipton Airport	Fort Meade(Odenton)
FMH	America/New_York	Cape Cod Coast Guard Air Station	Falmouth
FMI	Africa/Lubumbashi	Kalemie Airport	
FMM	Europe/Berlin	Memmingen Allgau Airport	Memmingen
FMN	America/Denver	Four Corners Regional Airport	Farmington
FMO	Europe/Berlin	Munster Osnabruck Airport	Munster
FMS	America/Chicago	Fort Madison Municipal Airport	Fort Madison
FMU	America/Los_Angeles	Florence Municipal Airport	Florence
FMY	America/New_York	Page Field	Fort Myers
FNA	Africa/Freetown	Lungi International Airport	Freetown
FNB	Europe/Berlin	Neubrandenburg Airport	Neubrandenburg
FNC	Atlantic/Madeira	Madeira Airport	Funchal
FNE	Pacific/Port_Moresby	Fane Airport	Fane Mission
FNG	Africa/Ouagadougou	Fada N'gourma Airport	Fada N'gourma
FNH	Africa/Addis_Ababa	Fincha Airport	Fincha
FNI	Europe/Paris	Nimes-Arles-Camargue Airport	Nimes/Garons
FNJ	Asia/Pyongyang	Pyongyang Sunan International Airport	Pyongyang
FNL	America/Denver	Northern Colorado Regional Airport	Fort Collins/Loveland
FNR	America/Juneau	Funter Bay Seaplane Base	Funter Bay
FNT	America/Detroit	Bishop International Airport	Flint
FNU	Europe/Rome	Oristano-Fenosu Airport	Oristano
FOA	Europe/London	Foula Airfield	Foula
FOB	America/Los_Angeles	Fort Bragg Airport	Fort Bragg
FOC	Asia/Shanghai	Fuzhou Changle International Airport	Fuzhou
FOD	America/Chicago	Fort Dodge Regional Airport	Fort Dodge
FOE	America/Chicago	Topeka Regional Airport - Forbes Field	Topeka
FOG	Europe/Rome	Foggia ""Gino Lisa"" Airport	Foggia
FOK	America/New_York	Francis S Gabreski Airport	Westhampton Beach
FOM	Africa/Douala	Foumban Nkounja Airport	Foumban
FON	America/Costa_Rica	Arenal Airport	La Fortuna/San Carlos
FOO	Asia/Jayapura	Kornasoren Airfield	Kornasoren-Numfoor Island
